bank_name,ifsc_code,branch,branch_code,tpv
Axis Bank,AXIS0000001,MG Road,BR101,Yes
HDFC Bank,HDFC0000002,Koramangala,BR102,No
SBI,SBI0000003,Bandra,BR103,No
ICICI Bank,ICIC0000004,Churchgate,BR104,Yes
Kotak Bank,KKBK0000005,DLF Phase 2,BR105,Yes
Yes Bank,YESB0000006,Sector 18,BR106,No
PNB,PUNB0000007,Vasant Vihar,BR107,No
BOI,BKID0000008,Powai,BR108,No
Canara Bank,CNRB0000009,BTM Layout,BR109,Yes
Union Bank,UBIN0000010,Rajajinagar,BR110,Yes
Axis Bank,AXIS0000011,Whitefield,BR111,Yes
HDFC Bank,HDFC0000012,Hebbal,BR112,No
SBI,SBI0000013,Panvel,BR113,No
ICICI Bank,ICIC0000014,Wakad,BR114,Yes
Kotak Bank,KKBK0000015,Salt Lake,BR115,Yes
Yes Bank,YESB0000016,Gariahat,BR116,No
PNB,PUNB0000017,Alambagh,BR117,No
BOI,BKID0000018,Shivaji Nagar,BR118,No
Canara Bank,CNRB0000019,Kondapur,BR119,Yes
Union Bank,UBIN0000020,HiTech City,BR120,Yes
Axis Bank,AXIS0000021,Noida Sec 62,BR121,Yes
HDFC Bank,HDFC0000022,Janakpuri,BR122,No
SBI,SBI0000023,Dwarka,BR123,No
ICICI Bank,ICIC0000024,Pimpri,BR124,Yes
Kotak Bank,KKBK0000025,Kalyani Nagar,BR125,Yes
Yes Bank,YESB0000026,Sector 44,BR126,No
PNB,PUNB0000027,Jayanagar,BR127,No
BOI,BKID0000028,Kukatpally,BR128,No
Canara Bank,CNRB0000029,Anna Nagar,BR129,Yes
Union Bank,UBIN0000030,Marathahalli,BR130,Yes
